PRES,PRES_QC,TEMP,PSAL,FLU2,CNDC,DENS,SVEL,CCOMD003,DOX1-1,DOX2-1,CNDC-2,OXYOCPVL-1,SPAR,PAR,PSAL-2,TEMP-2,ATTNZS01,TEMP_QC,PSAL_QC,FLU2_QC,CNDC_QC,DENS_QC,SVEL_QC,CCOMD003_QC,DOX1-1_QC,DOX2-1_QC,CNDC-2_QC,OXYOCPVL-1_QC,SPAR_QC,PAR_QC,PSAL-2_QC,TEMP-2_QC,ATTNZS01_QC
1.0,1.0,3.735,34.254,0.221,31.694,27.207,1464.55,1.656,8.173,355.342,3.168,2.494,468.42,256.52,34.233,3.736,83.313,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,3.738,34.26,0.214,31.701,27.21,1464.58,1.529,8.178,355.578,3.168,2.494,466.69,169.02,34.236,3.737,87.947,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,3.739,34.261,0.219,31.704,27.211,1464.6,1.716,8.183,355.78,3.169,2.494,466.44,182.61,34.241,3.74,88.467,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,3.741,34.267,0.242,31.711,27.216,1464.63,1.376,8.198,356.421,3.169,2.496,464.39,144.99,34.245,3.741,89.302,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,3.736,34.259,0.258,31.701,27.21,1464.62,1.325,8.196,356.333,3.169,2.496,462.39,125.02,34.24,3.737,89.724,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.0,3.737,34.26,0.261,31.702,27.211,1464.64,0.965,8.203,356.644,3.168,2.497,462.42,103.14,34.233,3.735,89.788,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1.0,3.736,34.257,0.258,31.699,27.209,1464.65,1.318,8.197,356.378,3.168,2.497,462.06,90.975,34.235,3.736,89.751,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,3.742,34.271,0.277,31.717,27.219,1464.71,1.408,8.2,356.497,3.17,2.497,460.39,79.929,34.251,3.743,89.787,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1.0,3.736,34.258,0.293,31.702,27.209,1464.69,1.336,8.196,356.328,3.168,2.498,463.99,72.63,34.237,3.736,89.978,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,3.738,34.256,0.272,31.702,27.208,1464.71,1.344,8.188,355.976,3.169,2.493,466.44,67.341,34.236,3.74,90.002,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.0,3.783,34.358,0.292,31.827,27.284,1465.04,1.156,8.175,355.386,3.182,2.494,466.44,62.707,34.341,3.79,90.032,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1.0,3.833,34.523,0.509,32.01,27.411,1465.48,1.493,8.172,355.237,3.199,2.496,466.44,53.118,34.499,3.833,89.951,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1.0,3.838,34.563,0.703,32.049,27.442,1465.57,1.774,8.224,357.471,3.202,2.502,467.39,46.695,34.529,3.839,89.413,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,1.0,3.837,34.568,0.799,32.052,27.446,1465.59,1.67,8.353,363.092,3.203,2.518,468.42,41.553,34.547,3.838,89.077,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,1.0,3.83,34.649,0.772,32.114,27.511,1465.68,1.144,8.451,367.304,3.211,2.538,468.45,35.952,34.644,3.829,88.812,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,1.0,3.806,34.758,1.058,32.184,27.601,1465.74,0.848,8.458,367.588,3.217,2.548,468.45,31.563,34.739,3.804,88.539,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1.0,3.792,34.778,1.363,32.189,27.618,1465.72,1.543,8.458,367.569,3.217,2.555,468.45,27.766,34.757,3.791,88.134,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.0,3.79,34.787,1.332,32.195,27.625,1465.74,1.659,8.503,369.528,3.218,2.563,469.19,24.238,34.765,3.79,87.657,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,1.0,3.814,34.812,1.462,32.238,27.642,1465.89,1.286,8.509,369.796,3.222,2.57,470.46,20.97,34.791,3.816,87.773,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,1.0,3.846,34.82,1.506,32.274,27.646,1466.05,1.198,8.502,369.468,3.226,2.577,470.92,18.566,34.797,3.849,87.558,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,1.0,3.858,34.86,1.773,32.318,27.677,1466.17,1.193,8.512,369.887,3.23,2.58,472.02,16.202,34.839,3.856,87.406,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,1.0,3.833,34.865,1.942,32.3,27.683,1466.09,1.498,8.491,368.991,3.228,2.578,470.46,13.906,34.843,3.832,87.376,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,1.0,3.815,34.866,1.893,32.285,27.685,1466.03,0.63,8.423,366.05,3.227,2.57,470.98,11.879,34.844,3.815,87.368,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,1.0,3.817,34.87,1.982,32.291,27.688,1466.06,1.227,8.344,362.614,3.227,2.559,0.0,10.121,34.848,3.818,87.371,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,1.0,3.814,34.877,2.116,32.294,27.694,1466.07,1.228,8.307,360.987,3.228,2.548,0.0,8.674,34.854,3.814,87.375,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,1.0,3.812,34.879,1.968,32.295,27.696,1466.08,1.029,8.251,358.545,3.228,2.536,472.47,7.424,34.857,3.812,87.312,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,1.0,3.792,34.879,2.315,32.278,27.699,1466.01,1.545,8.167,354.916,3.226,2.52,473.28,6.286,34.857,3.793,87.444,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,1.0,3.709,34.875,2.149,32.201,27.704,1465.68,0.775,8.118,352.784,3.218,2.505,474.48,5.372,34.853,3.705,87.561,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,1.0,3.704,34.877,2.148,32.198,27.706,1465.68,1.48,8.085,351.359,3.218,2.493,474.48,4.619,34.855,3.704,87.489,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,1.0,3.642,34.876,2.261,32.143,27.712,1465.43,0.946,8.087,351.416,3.212,2.484,474.48,3.975,34.854,3.639,87.826,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,1.0,3.582,34.873,1.948,32.088,27.714,1465.19,0.974,8.055,350.037,3.207,2.474,474.6,3.46,34.85,3.583,87.701,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,1.0,3.546,34.875,1.814,32.057,27.72,1465.06,1.578,8.014,348.267,3.204,2.463,476.41,3.027,34.853,3.545,87.804,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,1.0,3.512,34.884,1.704,32.035,27.73,1464.94,0.921,7.994,347.386,3.202,2.453,0.0,2.631,34.862,3.512,88.032,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,1.0,3.484,34.89,1.791,32.015,27.738,1464.85,1.056,7.985,346.977,3.2,2.446,0.0,2.286,34.868,3.484,88.162,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
